"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11833	647	37	10257834.0641009
11867	657	35	8654679.5749825
11812	598	32	9314387.65965416
11406	607	33	11680273.2259073
11744	606	32	9300861.09493187
11848	623	33	10529087.1296192
11604	582	32	11136353.5659759
11801	647	32	9795299.80041122
12004	633	37	9346197.05649203
11824	587	36	9742481.24665082
12173	590	30	9210794.25803465
12139	667	31	10946332.3449175
11850	623	38	8998852.66993537
12100	647	38	9403630.67122177
11895	639	40	10630160.6410873
11911	606	32	10228453.435659
11458	643	34	9489060.87557775
11572	625	31	9828667.2835493
11890	584	32	10218463.2174393
11707	594	31	9199105.98390286
11937	621	35	8660668.20975375
11575	645	33	11267084.3931826
11681	614	37	9973560.64872052
11808	579	30	9446156.26353767
11841	606	32	9466776.61125529
11791	608	31	8676467.89057131
11471	614	31	9950053.22412902
11768	606	34	9415195.77248009
11819	609	34	9794219.02312099
11694	609	28	9559834.27482721
11633	605	34	10558483.5112981
11610	618	30	10079573.5607802
12122	635	36	10269034.2518171
12127	608	28	10320527.6032193
12118	650	36	9906268.08847081
12178	620	35	9682638.49822957
12171	595	32	9362379.88077816
12075	632	32	10289719.8691915
12195	657	32	8464901.19350945
12106	672	38	9993256.03018839
12187	589	32	8903080.67373671
11934	629	34	9634234.42562606
12048	676	31	10595939.1344496
11864	624	32	9634468.24959378
12145	623	37	10263656.2302432
12015	602	33	10976390.3463919
11945	623	33	12116097.2439441
11980	624	38	9427270.93169057
11939	629	29	10533773.307385
12012	638	35	9187897.64998943
11943	631	33	9217154.15335103
11956	619	37	9661268.71757966
12146	611	36	10320989.0104053
11523	622	31	9799708.04661391
11596	622	32	10489245.5990183
12003	634	31	9169650.48585666
12053	615	30	8164483.18763982
11704	632	33	10103338.2101063
11978	632	32	10404182.0975647
11975	653	29	10426305.1232893
11358	610	35	10651752.5875553
11784	609	30	10434155.5228446
12332	635	28	9836108.87470613
11862	637	33	10669685.2828948
11828	635	34	11778742.6549416
11752	593	32	9692655.89811721
12055	623	34	9767258.27828339
11778	607	31	10754825.7901252
11529	620	32	10834644.4946286
11726	593	34	8683140.43781639
12217	653	35	11237416.0497261
12146	662	35	10009210.5814511
11835	610	30	10275302.5203504
11780	633	30	9947466.28376177
11772	604	32	10170472.2102895
12159	648	30	12057868.8807531
12137	623	35	8926714.69828504
11721	631	35	10391628.4474167
11822	620	34	9336856.7693504
11829	625	35	11187059.8988863
11769	622	34	10413746.8205562
12098	613	30	9852191.27697178
11695	640	38	9576659.63047894
11643	584	34	8385742.1996276
11899	639	31	10919298.9382544
11883	642	35	9704721.22916231
12389	616	37	8915460.79497179
12184	633	30	9777429.49494549
11683	600	34	11265405.1264314
11633	628	32	10044362.9571956
11973	624	32	9270718.03449687
12141	618	29	9423939.52835377
11968	625	34	9415033.20251806
12079	659	32	9244306.63908209
11738	602	35	12781659.4700438
11765	612	34	11108018.4291357
11758	624	31	10269287.7532349
11797	606	32	10284977.2288371
12044	657	31	9694557.7620958
11717	626	31	9584567.9124584
11860	614	38	9761261.53676814
11458	627	34	10242067.8561039
12170	632	38	10162292.6950686
11760	588	29	12093032.6882354
11917	637	36	9372833.53680365
11980	645	36	10631274.0325405
12158	601	26	8122386.1380888
11821	623	38	10196325.0869345
12033	622	32	11599202.3883009
11860	607	35	8983904.47948211
11510	583	34	10108833.5651669
11424	606	32	8742278.37371085
11612	639	33	11915735.2690713
11746	581	33	10312968.4012899
12016	648	29	8315854.23776121
11959	634	31	10599648.7663325
11872	611	31	10588489.8270955
12099	644	37	11130955.0481902
12240	624	32	9321737.21276398
